"103";"Binnenlandse Zaken en Koninkrijksrelaties";"AIVD";"(Senior) Beleidsmedewerker schaal 13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"104";"Binnenlandse Zaken en Koninkrijksrelaties";"AIVD";"geen FGR";1450,855;1437,403;1423,067;1397,158;1361,783;1343,672;1326,585;1393,769;1301,765;1304,385;1341,791;1396,852;1432,088;1456,754;1500,76;1545,771;1592,915;1618,131;1674,659;1681,51;1715,8;1746,613;1751,541;1774,731;1809,524
"105";"Binnenlandse Zaken en Koninkrijksrelaties";"AIVD";"Medewerker Beveiliging schaal 06";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"106";"Binnenlandse Zaken en Koninkrijksrelaties";"AIVD";"Medewerker Facilitair Management S04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"107";"Binnenlandse Zaken en Koninkrijksrelaties";"AIVD";"Operationeel Manager schaal 12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"108";"Binnenlandse Zaken en Koninkrijksrelaties";"AIVD";"Project-/Programmamanager schaal 14";NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"109";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"(Senior) Beleidsmedewerker schaal 11";NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"110";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Adviseur Bedrijfsvoering schaal 10";2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"111";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Adviseur Bedrijfsvoering schaal 11";2;2;2;2;1,667;1,667;1,667;1,667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"112";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Coördinerend Beleidsmedewerker schaal 13";1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"113";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Coördinerend/Specialistisch Adviseur S14";1,667;1,667;1,667;1,667;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"114";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"geen FGR";NA;NA;NA;1;1;NA;NA;0,778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"115";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Managementondersteuner schaal 06";2,556;1,556;1,556;1,556;1,556;1,556;1,556;3,556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"116";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Managementondersteuner schaal 07";1;1;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"117";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Medewerker Administratie schaal 07";3,611;3,611;3,611;3,611;4,611;4,611;4,611;4,611;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"118";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Medewerker Administratie schaal 08";1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"119";"Binnenlandse Zaken en Koninkrijksrelaties";"BPR";"Medewerker Advisering schaal 11";1,778;2,556;2,556;2,556;2,556;2,556;2,556;1,778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
