84;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur schaal 12;173,039;175,261;174,244;174,444;174,276;176,11;180,888;181,471;182,159;186,826;203,992;214,131;114,928;109,718;117,066;117,995;119,01;96,498;97,374;100,941;96,309;96,808;100,92;100,92;101,875
85;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur schaal 13;40,252;41,141;42,03;42,03;35,974;35,807;35,973;39,084;40,556;38,445;38,445;34,612;33,723;34,779;39,112;39,084;43,928;44,928;45,039;42,333;42,167;43,167;42,056;42,056;39,723
86;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker schaal 11;124,132;123,287;125,228;130,173;133,035;135,591;151,117;147,235;139,063;139,896;133,547;122,713;110,868;118,479;136,479;145,535;141,951;138,173;138,051;134,218;149,907;152,963;162,925;153,247;146,635
87;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker schaal 12;134,203;136,092;140,203;140,064;143,33;149,797;147,798;155,548;154,762;156,234;156,295;157,245;153,756;161,288;172,787;177,036;177,001;178,223;173,376;174,32;204,678;210,345;206,434;207,218;202,428
88;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker schaal 13;25,729;26,507;26,84;25,992;25,881;24,97;20,17;19,726;22,726;22,726;21,726;21,17;22,062;30,784;31,726;32,726;39,559;41,559;40,892;38,892;61,081;61,136;61,258;62,258;68,591
89;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 08;44,303;46,414;43,725;46,447;51,103;55,523;52,428;55,428;59,867;64,978;71,617;73,745;70,872;75,872;81,743;89,77;92,492;95,367;92,781;89,844;91,363;84,563;78,146;75,86;59,994
90;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 09;261,926;261,76;265,949;265,999;289,514;290,959;293,764;310,429;307,592;307,952;309,453;315,74;323,735;328,279;341,796;345,631;371,572;391,234;393,257;406,217;414,226;420,476;427,277;413,639;433,428
91;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 10;271,056;275,069;278,902;286,292;347,961;349,115;354,669;359,877;322,699;335,495;354,649;364,354;365,28;378,231;395,673;408,696;396,501;392,196;399,835;412,764;417,683;431,411;442,628;448,77;456,6
92;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 11;164,065;161,259;168,314;175,971;184,255;190,845;190,128;203,239;252,032;253,502;264,584;267,611;286,13;301,909;321,7;333,257;317,752;333,435;336,242;342,936;351,158;355,153;372,148;370,412;351,967
93;Binnenlandse Zaken en Koninkrijksrelaties;Ass. Medew. Facilitair Management S01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,694;2,25;5,696;6,363;9,141;9,697;10,003;12,781
94;Binnenlandse Zaken en Koninkrijksrelaties;Ass. Medew. Facilitair Management S03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,05;7,05
95;Binnenlandse Zaken en Koninkrijksrelaties;Assistent Medewerker Administratie S01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,556;0,556;0,611;0,611
96;Binnenlandse Zaken en Koninkrijksrelaties;Assistent Medewerker Administratie S02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,444;NA;NA;NA;0,417;0,417;0,417
97;Binnenlandse Zaken en Koninkrijksrelaties;Assistent Medewerker Administratie S03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,778;1,556;2,556;1,778;1,778;19,226;20,56;21,675;26,01;37,869;41,619
98;Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner schaal 08;6,167;8,167;8,417;7,695;8,695;8,75;10,611;10,611;12,249;11,11;12,361;12,473;12,529;9,751;10,751;10,028;10,555;11,555;12,778;12,778;18,556;19,389;17,5;17,667;17,834
99;Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner schaal 09;11,195;11,334;12,334;13,834;12,945;11,167;12,417;13,417;13,501;12,501;11,501;9,695;8,028;10,028;9,806;10,028;10,028;9,084;9,195;8,334;10,223;10,223;10,223;11,112;8,112
100;Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner schaal 10;12,222;10,555;12,611;12,611;11,666;14,666;14,666;13,666;12,472;11,472;14,972;17,64;17,834;17,14;19,084;19,64;17,695;15,779;15,64;14,751;20,89;20,612;22,112;21,112;22,668
101;Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner schaal 11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,889;1,889;1,889;1,889;1,889;1,889;1,889;1,889;1,889
102;Binnenlandse Zaken en Koninkrijksrelaties;Commissiesecretaris schaal 09;13,522;13,522;13,522;13,522;12,522;12,522;13,411;13,411;11,411;11,411;14,411;14,411;14,411;14,411;14,411;14,411;14,078;14,078;14,078;14,133;14,027;15,827;15,827;15,827;NA
103;Binnenlandse Zaken en Koninkrijksrelaties;Commissiesecretaris schaal 10;2,8;2,8;2,8;2,8;2,8;3,6;3,6;3,6;5,689;5,689;5,689;5,689;5,689;5,689;5,689;5,689;5,689;5,689;5,689;5,689;5,1;3,3;3,3;3,3;NA
104;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend Beleidsmedewerker schaal 13;86,7;84,256;85,256;84,478;87,7;86,794;85,794;84,794;84,851;83,218;80,551;80,329;81,135;87,035;91,779;84,931;85,056;86,167;82,334;82,362;104,178;106,011;108,156;111,137;111,693
105;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend Beleidsmedewerker schaal 14;41,588;43,588;44,477;44,477;43,477;46,377;46,377;44,488;47,388;46,388;47,277;49,277;46,277;56,421;60,366;63,06;65,06;64,06;63,071;62,682;78,404;75,404;74,571;77,487;79,198
106;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend Beleidsmedewerker schaal 15;4,167;4,167;4,167;4,167;3,056;3,056;3,056;3,056;3,056;3,056;3,056;4,056;5,056;3,056;3,056;3,056;3,056;3,056;3,056;3,056;4,056;4,056;4,056;4,056;4,056
107;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend/Special. Adviseur Bedrv S13;39,814;38,87;44,745;47,606;61,458;61,625;66,907;65,851;55,101;53,079;54,968;55,857;79,957;82,957;80,54;56,218;51,551;51,751;47,39;48,334;54,834;54,889;57,222;55,333;57,583
108;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend/Special. Adviseur Bedrv S14;13,861;13,861;13,861;14,861;17,917;17,917;17,973;19,056;19,006;20,467;23,578;22,578;35,953;38,467;33,189;18,953;21,842;23,342;25,342;26,453;29,008;28,583;26,472;26,472;22,056
109;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend/Special. Adviseur Bedrv S15;1;0,556;0,556;1,556;1,556;1,445;0,556;0,556;1,556;2,278;2,278;2,278;2,278;1,556;1,556;0,556;0,556;1,32;1,32;1,32;1,32;1,32;1,209;1,209;1,209
110;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend/Specialist. Inspecteur S14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA
111;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend/Specialistisch Adviseur S13;69,957;71,957;72,071;72,002;72,956;73,289;78,381;78,381;79,464;78,492;84,547;86,464;46,736;51,625;54,778;76,128;76,961;73,106;74,023;78,801;81,595;84,346;89,791;90,693;99,416
112;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend/Specialistisch Adviseur S14;51,847;51;52;52,055;48,243;47,243;45,483;47,316;58,872;58,803;54,858;57,025;44,906;45,683;50,572;64,253;63,809;60,323;59,144;58,144;59,589;60,645;63,395;61,89;63,291
113;Binnenlandse Zaken en Koninkrijksrelaties;Coördinerend/Specialistisch Adviseur S15;7,778;7,778;9,222;9,222;8,778;7,778;8;9;8;8;9,111;9,833;9,833;11,833;12,111;13,111;15,222;15,055;15,055;13,944;13,944;14,722;14,722;13,833;14,833
114;Binnenlandse Zaken en Koninkrijksrelaties;Deelprojectleider schaal 09;2;2,806;4,667;5,567;6,722;6,722;6,722;6,722;5,611;5,611;7,722;7,861;3,889;4;6;6;5,889;6,889;7;2;2;2;NA;NA;NA
115;Binnenlandse Zaken en Koninkrijksrelaties;Deelprojectleider schaal 10;7,323;8,323;7,323;8,323;9,834;9,834;9,834;9,195;10,195;11,195;20,306;27,057;22,779;28,834;30,723;30,779;36,251;15,381;14,381;6,842;6,842;5,556;NA;NA;NA
116;Binnenlandse Zaken en Koninkrijksrelaties;Deelprojectleider schaal 11;3,589;1,589;0,7;NA;NA;NA;NA;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;NA;NA;NA
117;Binnenlandse Zaken en Koninkrijksrelaties;Expert Informatievoorziening schaal 11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,944;3;3;4;5;6;5;5;5;4;4,056;5,056;8,056;39,512
